algorithm,size,seconds,speedup
bitonic_sort,1048576,0.00051,10.804
thrust_sort,1048576,0.00026,21.410
radix_sort_tbb,1048576,0.00191,2.939
gpu_radix_sort_opt_2,1048576,0.01225,0.458
bitonic_sort,1048576,0.00052,10.795
thrust_sort,1048576,0.00027,21.021
radix_sort_tbb,1048576,0.00137,3.913
gpu_radix_sort_opt_2,1048576,0.01226,0.436
bitonic_sort,1048576,0.00052,10.337
thrust_sort,1048576,0.00026,20.646
radix_sort_tbb,1048576,0.00146,3.644
gpu_radix_sort_opt_2,1048576,0.01226,0.433
bitonic_sort,1048576,0.00052,10.285
thrust_sort,1048576,0.00031,17.181
radix_sort_tbb,1048576,0.00142,3.748
gpu_radix_sort_opt_2,1048576,0.01226,0.435
bitonic_sort,1048576,0.00052,10.331
thrust_sort,1048576,0.00026,20.491
radix_sort_tbb,1048576,0.00138,3.888
gpu_radix_sort_opt_2,1048576,0.01226,0.439
bitonic_sort,1048576,0.00054,9.912
thrust_sort,1048576,0.00028,19.160
radix_sort_tbb,1048576,0.00133,3.931
gpu_radix_sort_opt_2,1048576,0.01227,0.428
bitonic_sort,1048576,0.00052,10.172
thrust_sort,1048576,0.00029,17.795
radix_sort_tbb,1048576,0.00136,3.915
gpu_radix_sort_opt_2,1048576,0.01226,0.433
bitonic_sort,1048576,0.00052,10.210
thrust_sort,1048576,0.00031,16.959
radix_sort_tbb,1048576,0.00143,3.767
gpu_radix_sort_opt_2,1048576,0.01226,0.438
bitonic_sort,1048576,0.00052,10.304
thrust_sort,1048576,0.00028,18.968
radix_sort_tbb,1048576,0.00144,3.655
gpu_radix_sort_opt_2,1048576,0.01226,0.429
bitonic_sort,1048576,0.00052,10.172
thrust_sort,1048576,0.00028,18.649
radix_sort_tbb,1048576,0.00146,3.599
gpu_radix_sort_opt_2,1048576,0.01226,0.427
bitonic_sort,1048576,0.00052,10.108
thrust_sort,1048576,0.00027,19.542
radix_sort_tbb,1048576,0.00143,3.718
gpu_radix_sort_opt_2,1048576,0.01226,0.435
bitonic_sort,1048576,0.00052,10.311
thrust_sort,1048576,0.00026,20.202
radix_sort_tbb,1048576,0.00138,3.801
gpu_radix_sort_opt_2,1048576,0.01226,0.429
bitonic_sort,1048576,0.00052,10.189
thrust_sort,1048576,0.00026,19.846
radix_sort_tbb,1048576,0.00141,3.754
gpu_radix_sort_opt_2,1048576,0.01227,0.432
bitonic_sort,1048576,0.00052,10.276
thrust_sort,1048576,0.00026,20.317
radix_sort_tbb,1048576,0.00141,3.779
gpu_radix_sort_opt_2,1048576,0.01228,0.434
bitonic_sort,1048576,0.00052,10.169
thrust_sort,1048576,0.00029,18.564
radix_sort_tbb,1048576,0.00135,4.956
gpu_radix_sort_opt_2,1048576,0.01226,0.544
bitonic_sort,1048576,0.00052,12.939
thrust_sort,1048576,0.00029,22.710
radix_sort_tbb,1048576,0.00137,3.911
gpu_radix_sort_opt_2,1048576,0.01229,0.438
bitonic_sort,1048576,0.00053,10.182
thrust_sort,1048576,0.00026,20.672
radix_sort_tbb,1048576,0.00144,3.684
gpu_radix_sort_opt_2,1048576,0.01227,0.433
bitonic_sort,1048576,0.00052,10.313
thrust_sort,1048576,0.00026,20.160
radix_sort_tbb,1048576,0.00143,3.739
gpu_radix_sort_opt_2,1048576,0.01226,0.437
bitonic_sort,1048576,0.00051,10.396
thrust_sort,1048576,0.00026,20.754
radix_sort_tbb,1048576,0.00139,3.860
gpu_radix_sort_opt_2,1048576,0.01225,0.437
bitonic_sort,1048576,0.00051,10.404
thrust_sort,1048576,0.00027,20.210
radix_sort_tbb,1048576,0.00149,3.590
gpu_radix_sort_opt_2,1048576,0.01228,0.436
bitonic_sort,1048576,0.00052,10.360
thrust_sort,1048576,0.00027,19.824
radix_sort_tbb,1048576,0.00146,3.649
gpu_radix_sort_opt_2,1048576,0.01227,0.435
bitonic_sort,1048576,0.00052,10.346
thrust_sort,1048576,0.00026,20.465
radix_sort_tbb,1048576,0.00137,3.865
gpu_radix_sort_opt_2,1048576,0.01226,0.432
bitonic_sort,1048576,0.00052,10.258
thrust_sort,1048576,0.00027,19.972
radix_sort_tbb,1048576,0.00136,3.961
gpu_radix_sort_opt_2,1048576,0.01225,0.439
bitonic_sort,1048576,0.00052,10.415
thrust_sort,1048576,0.00026,20.517
radix_sort_tbb,1048576,0.00140,3.818
gpu_radix_sort_opt_2,1048576,0.01227,0.437
bitonic_sort,1048576,0.00052,10.391
thrust_sort,1048576,0.00026,20.554
radix_sort_tbb,1048576,0.00137,3.866
gpu_radix_sort_opt_2,1048576,0.01226,0.432
bitonic_sort,1048576,0.00052,10.273
thrust_sort,1048576,0.00026,20.394
radix_sort_tbb,1048576,0.00135,3.980
gpu_radix_sort_opt_2,1048576,0.01229,0.437
bitonic_sort,1048576,0.00052,10.335
thrust_sort,1048576,0.00026,20.510
radix_sort_tbb,1048576,0.00139,3.951
gpu_radix_sort_opt_2,1048576,0.01230,0.446
bitonic_sort,1048576,0.00052,10.604
thrust_sort,1048576,0.00034,15.931
radix_sort_tbb,1048576,0.00143,3.755
gpu_radix_sort_opt_2,1048576,0.01226,0.437
bitonic_sort,1048576,0.00052,10.399
thrust_sort,1048576,0.00026,20.875
radix_sort_tbb,1048576,0.00140,3.855
gpu_radix_sort_opt_2,1048576,0.01226,0.440
bitonic_sort,1048576,0.00052,10.366
thrust_sort,1048576,0.00027,19.991
radix_sort_tbb,1048576,0.00139,3.794
gpu_radix_sort_opt_2,1048576,0.01226,0.430
bitonic_sort,1048576,0.00052,10.190
thrust_sort,1048576,0.00026,20.342
radix_sort_tbb,1048576,0.00140,3.796
gpu_radix_sort_opt_2,1048576,0.01231,0.433
bitonic_sort,1048576,0.00052,10.247
thrust_sort,1048576,0.00026,20.115
radix_sort_tbb,1048576,0.00135,4.685
